steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,hour,rate
1193,87.8,103,68,59.25,15,0
166,100.9,108,89,48.2,16,0
52,85.6,93,80,37.2167,17,0
213,82.27,95,74,36.2542,18,1
3534,102.7,121,82,84.3333,19,0
2087,99.26,111,88,70.3721,20,0
43,75.15,79,71,26.303,12,0
432,81.55,96,72,51.25,13,0
4015,104.35,115,95,80.9,14,0
1497,87.18,106,74,46.4333,15,0
1367,89.32,102,77,45.6167,16,0
42,73.54,82,67,24.1087,17,0
16,74.54,84,71,21.451,21,0
48,91.2,109,85,43.7255,9,0
0,94.57,101,89,42.7727,10,0
1090,91.38,104,65,47.2,11,0
1404,102.77,112,94,51.5833,12,0
